1,FK,KD_JENIS_TRANSAKSI,FG_PENGGANTI,NOMOR_FAKTUR,MASA_PAJAK,TAHUN_PAJAK,TANGGAL_FAKTUR,NPWP,NAMA,ALAMAT_LENGKAP,JUMLAH_DPP,JUMLAH_PPN,JUMLAH_PPNBM,ID_KETERANGAN_TAMBAHAN,FG_UANG_MUKA,UANG_MUKA_DPP,UANG_MUKA_PPN,UANG_MUKA_PPNBM,REFERENSI
2,LT,NPWP,NAMA,JALAN,BLOK,NOMOR,RT,RW,KECAMATAN,KELURAHAN,KABUPATEN,PROPINSI,KODE_POS,NOMOR_TELEPON,,,,,
3,OF,KODE_OBJEK,NAMA,HARGA_SATUAN,JUMLAH_BARANG,HARGA_TOTAL,DISKON,DPP,PPN,TARIF_PPNBM,PPNBM,,,,,,,,
410011002240500518,FK,01,0,,05,2024,05/05/2024,[NPWPNO],[NPWPNAME],[NPWPADDR],123982,12398,0,,0,0,0,0,10011002240500518
410011002240500518100112405064427679,OF,8999999407858,WIPOL LEMON P750,21545,1,21545,5427,16118,1612,0,0,,,,,,,,
410011002240500518100112405064427680,OF,8999999560652,RINSO MLT JP PW770,19545,1,19545,0,19545,1955,0,0,,,,,,,,
410011002240500518100112405064427681,OF,8993539322991,PERFECT ALK WTR300,4364,1,4364,0,4364,436,0,0,,,,,,,,
410011002240500518100112405064427682,OF,8993539322922,PERFECT ALK 500ML,5545,1,5545,0,5545,555,0,0,,,,,,,,
410011002240500518100112405064427683,OF,8886007821044,CAP POCI TEH WANGI,4091,1,4091,0,4091,409,0,0,,,,,,,,
410011002240500518100112405064427684,OF,8886020001126,#SWALLOW S-112 15,15727,1,15727,0,15727,1573,0,0,,,,,,,,
410011002240500518100112405064427685,OF,8992911011232,+IDEAL COTTON B,6364,1,6364,0,6364,636,0,0,,,,,,,,
410011002240500518100112405064427686,OF,8998866100151,CIPT TP120GR COOL,6273,1,6273,1000,5273,527,0,0,,,,,,,,
410011002240500518100112405064427687,OF,9556006060346,JOHNSONS BB LOT100,19000,1,19000,0,19000,1900,0,0,,,,,,,,
410011002240500518100112405064427688,OF,8998009011740,ULTRAMILK CRML200,4773,1,4773,0,4773,477,0,0,,,,,,,,
410011002240500518100112405064427689,OF,8992727002578,BIORE RELAX P250,17909,1,17909,0,17909,1791,0,0,,,,,,,,
410011002240500518100112405064427690,OF,8998866100151,CIPT TP120GR COOL,6273,1,6273,1000,5273,527,0,0,,,,,,,,
